,model,epochs,batch_size,initial_lr,fold,train_examples,sampling,train_time,test_time,filename,f1,precision,recall,bal_acc
31,DecisionTreeClassifier,,,,1,,NONE,80.36552810668945,0.00665736198425293,,0.8240187350537781,0.8173940317239522,0.83104450936581,0.83104450936581
32,AdaBoostClassifier,,,,1,,NONE,171.31119775772095,0.19168448448181152,,0.13015593168356812,0.2559586244136209,0.14812560821471701,0.14812560821471701
33,LGBM,,,,1,,NONE,47.53134775161743,0.11868643760681152,,0.5779260847649399,0.938086574194128,0.45954250436482574,0.45954250436482574
34,PassiveAggressiveClassifier,,,,1,,SMOTE,29.68284273147583,0.0862126350402832,,0.1924023880776266,0.20581845113221608,0.23281012400652687,0.23281012400652687
35,Perceptron,,,,1,,SMOTE,21.063620805740356,0.015871047973632812,,0.17497193224672375,0.2251458164556678,0.32131092671621453,0.32131092671621453
36,RidgeClassifier,,,,1,,SMOTE,2.772336483001709,0.012667179107666016,,0.25466732526201524,0.2554945258033842,0.3729322737847753,0.3729322737847753
37,SGDClassifier,,,,1,,SMOTE,326.5019965171814,0.054288625717163086,,0.18161752633063907,0.34963693187041,0.31953081580284454,0.31953081580284454
38,LogisticRegression,,,,1,,SMOTE,79.03049302101135,0.018672704696655273,,0.22057251137592665,0.23697725223631497,0.35120683048507656,0.35120683048507656
39,LinearDiscriminantAnalysis,,,,1,,SMOTE,49.01061534881592,0.03218960762023926,,0.2532746745774926,0.25001177314032247,0.37033178246727666,0.37033178246727666
40,QuadraticDiscriminantAnalysis,,,,1,,SMOTE,23.47866678237915,0.4263014793395996,,0.34526736722547735,0.33747165247382777,0.5515258762488553,0.5515258762488553
41,BernoulliNB,,,,1,,SMOTE,1.6544888019561768,0.0725245475769043,,0.16210340246327773,0.19925189438379357,0.2576174418259721,0.2576174418259721
42,GaussianNB,,,,1,,SMOTE,1.0799269676208496,0.12124919891357422,,0.045943827410165096,0.1757799839411546,0.17623334510781247,0.17623334510781247
43,KNeighborsClassifier,,,,1,,SMOTE,30.94969081878662,449.95739817619324,,0.5722382870783403,0.48599371344928743,0.8432553784660163,0.8432553784660163
44,NearestCentroid,,,,1,,SMOTE,0.30533742904663086,0.02597951889038086,,0.16018741887643353,0.1966573371069197,0.2259690273366775,0.2259690273366775
45,DecisionTreeClassifier,,,,1,,SMOTE,271.66933035850525,0.0071868896484375,,0.7652425098878266,0.7095811829949046,0.8376845024625537,0.8376845024625537
46,AdaBoostClassifier,,,,1,,SMOTE,996.6185367107391,0.19405531883239746,,0.2033745589843546,0.2164110164575123,0.2922904223041397,0.2922904223041397
47,LGBM,,,,1,,SMOTE,191.75112104415894,0.1276564598083496,,0.5312122210826342,0.4646239050840958,0.6732661368619564,0.6732661368619564
48,PassiveAggressiveClassifier,,,,2,,NONE,5.521191835403442,0.014021635055541992,,0.1538072516655973,0.25745397909474066,0.16831953791192328,0.16831953791192328
49,Perceptron,,,,2,,NONE,3.5405707359313965,0.013522148132324219,,0.175511501511101,0.25241927279662973,0.20807160626087826,0.20807160626087826
50,RidgeClassifier,,,,2,,NONE,0.5355186462402344,0.007995367050170898,,0.14336116172918162,0.2640348452891787,0.15442040486516304,0.15442040486516304
51,SGDClassifier,,,,2,,NONE,44.972922563552856,0.013536691665649414,,0.17920688080377367,0.40745680172509413,0.2491657731541514,0.2491657731541514
52,LogisticRegression,,,,2,,NONE,16.396284341812134,0.018128633499145508,,0.20921119210943356,0.2954076270719828,0.1984244937332753,0.1984244937332753
53,LinearDiscriminantAnalysis,,,,2,,NONE,7.777350425720215,0.01713728904724121,,0.23054444351884287,0.3566758319960307,0.21528238361204172,0.21528238361204172
54,QuadraticDiscriminantAnalysis,,,,2,,NONE,4.305756092071533,0.24168777465820312,,0.3385957474282045,0.36738068114246125,0.5849450858679663,0.5849450858679663
55,BernoulliNB,,,,2,,NONE,0.36928367614746094,0.07711172103881836,,0.1789515715690651,0.22351698446530552,0.24068857357930273,0.24068857357930273
56,GaussianNB,,,,2,,NONE,0.24138569831848145,0.11733412742614746,,0.04494013507345651,0.17608655310314278,0.17782749319757446,0.17782749319757446
57,KNeighborsClassifier,,,,2,,NONE,4.3099682331085205,156.5122570991516,,0.6803918187631088,0.7461803535206892,0.6317380862673844,0.6317380862673844
58,NearestCentroid,,,,2,,NONE,0.06254911422729492,0.01869368553161621,,0.15674002180675656,0.17979651372423539,0.214604751160477,0.214604751160477
59,DecisionTreeClassifier,,,,2,,NONE,79.19319176673889,0.006460905075073242,,0.8302247903591861,0.8255416733855779,0.8350733354560721,0.8350733354560721
60,AdaBoostClassifier,,,,2,,NONE,166.15505266189575,0.19017314910888672,,0.12756964401995646,0.3261467729529403,0.14675179830510957,0.14675179830510957
61,LGBM,,,,2,,NONE,43.33528161048889,0.1121819019317627,,0.5607408581571801,0.9261876796525057,0.44794533035781203,0.44794533035781203
62,PassiveAggressiveClassifier,,,,2,,SMOTE,28.16443681716919,0.013931989669799805,,0.10485347084390231,0.21925322134634914,0.2266616658019216,0.2266616658019216
63,Perceptron,,,,2,,SMOTE,15.183515071868896,0.013573408126831055,,0.15809320039447172,0.23272915372429862,0.2714616071918215,0.2714616071918215
64,RidgeClassifier,,,,2,,SMOTE,1.8058531284332275,0.017962217330932617,,0.2527652920888191,0.25305533442915756,0.36689201550403533,0.36689201550403533
65,SGDClassifier,,,,2,,SMOTE,355.81577706336975,0.013828516006469727,,0.2198044084319343,0.2566569052837054,0.3205582173203797,0.3205582173203797
66,LogisticRegression,,,,2,,SMOTE,76.52348804473877,0.02130293846130371,,0.22018002413375018,0.23587434644045552,0.34952803556764916,0.34952803556764916
67,LinearDiscriminantAnalysis,,,,2,,SMOTE,39.26779890060425,0.03808307647705078,,0.255043506369364,0.250443408351158,0.3691703108320713,0.3691703108320713
68,QuadraticDiscriminantAnalysis,,,,2,,SMOTE,22.982266664505005,0.4045693874359131,,0.3322423168348551,0.3275352919230687,0.5351331487605755,0.5351331487605755
